date,state,positive,hospitalizedCumulative,death
20201103,ND,47187,1702,560
,,,,
20201102,ND,46015,1656,545
,,,,
20201101,ND,45043,1634,536
,,,,
20201031,ND,43916,1618,529
,,,,
20201030,ND,42483,1586,517
,,,,
20201029,ND,41130,1547,504
,,,,
20201028,ND,39907,1519,493
,,,,
20201027,ND,39130,1478,481
,,,,
20201026,ND,38241,1437,467
,,,,
20201025,ND,37719,1417,461
,,,,
20201024,ND,36874,1405,453
,,,,
20201023,ND,35939,1388,445
,,,,
20201022,ND,35052,1351,427
,,,,
20201021,ND,34165,1324,427
,,,,
20201020,ND,33666,1301,417
,,,,
20201019,ND,32637,1267,413
,,,,
20201018,ND,31978,1253,409
,,,,
20201017,ND,31261,1242,404
,,,,
20201016,ND,30517,1221,393
,,,,
20201015,ND,29653,1192,375
,,,,
20201014,ND,28947,1159,370
,,,,
20201013,ND,28245,1126,362
,,,,
20201012,ND,27737,1099,350
,,,,
20201011,ND,27265,1076,343
,,,,
20201010,ND,26628,1062,340
,,,,
20201009,ND,26040,1037,325
,,,,
20201008,ND,25384,1016,314
,,,,
20201007,ND,24857,995,308
,,,,
20201006,ND,24364,968,284
,,,,
20201005,ND,23862,939,280
,,,,
20201004,ND,23550,925,277
,,,,
20201003,ND,23134,912,274
,,,,
20201002,ND,22694,902,267
,,,,
20201001,ND,22218,884,259
,,,,
20200930,ND,21846,859,249
,,,,
20200929,ND,21401,848,242
,,,,
20200928,ND,20983,828,237
,,,,
20200927,ND,20724,815,234
,,,,
20200926,ND,20380,809,230
,,,,
20200925,ND,19885,789,222
,,,,
20200924,ND,19451,777,216
,,,,
20200923,ND,18981,763,206
,,,,
20200922,ND,18508,752,199
,,,,
20200921,ND,18244,730,196
,,,,
20200920,ND,17958,723,195
,,,,
20200919,ND,17607,716,195
,,,,
20200918,ND,17230,705,187
,,,,
20200917,ND,16723,691,185
,,,,
20200916,ND,16333,674,175
,,,,
20200915,ND,16064,657,175
,,,,
20200914,ND,15831,646,173
,,,,
20200913,ND,15577,643,171
,,,,
20200912,ND,15151,634,170
,,,,
20200911,ND,14684,630,163
,,,,
20200910,ND,14443,624,163
,,,,
20200909,ND,14110,611,160
,,,,
20200908,ND,13872,604,160
,,,,
20200907,ND,13797,602,160
,,,,
20200906,ND,13626,598,160
,,,,
20200905,ND,13327,596,159
,,,,
20200904,ND,12971,590,154
,,,,
20200903,ND,12629,583,154
,,,,
20200902,ND,12270,575,152
,,,,
20200901,ND,12004,564,149
,,,,
20200831,ND,11810,554,147
,,,,
20200830,ND,11696,554,145
,,,,
20200829,ND,11475,551,145
,,,,
20200828,ND,11102,550,143
,,,,
20200827,ND,10790,534,143
,,,,
20200826,ND,10457,525,142
,,,,
20200825,ND,10223,519,142
,,,,
20200824,ND,9989,505,140
,,,,
20200823,ND,9863,501,140
,,,,
20200822,ND,9724,499,136
,,,,
20200821,ND,9468,491,136
,,,,
20200820,ND,9237,478,134
,,,,
20200819,ND,8963,478,134
,,,,
20200818,ND,8775,469,132
,,,,
20200817,ND,8641,461,130
,,,,
20200816,ND,8582,459,129
,,,,
20200815,ND,8439,457,125
,,,,
20200814,ND,8316,455,125
,,,,
20200813,ND,8164,445,124
,,,,
20200812,ND,7964,440,124
,,,,
20200811,ND,7877,430,122
,,,,
20200810,ND,7706,417,117
,,,,
20200809,ND,7589,415,116
,,,,
20200808,ND,7498,414,116
,,,,
20200807,ND,7318,408,114
,,,,
20200806,ND,7169,400,113
,,,,
20200805,ND,7047,394,112
,,,,
20200804,ND,6925,389,111
,,,,
20200803,ND,6776,379,109
,,,,
20200802,ND,6649,371,109
,,,,
20200801,ND,6593,371,107
,,,,
20200731,ND,6461,364,107
,,,,
20200730,ND,6294,356,107
,,,,
20200729,ND,6221,351,106
,,,,
20200728,ND,6132,343,104
,,,,
20200727,ND,5981,337,103
,,,,
20200726,ND,5869,333,103
,,,,
20200725,ND,5729,328,103
,,,,
20200724,ND,5608,325,103
,,,,
20200723,ND,5486,322,101
,,,,
20200722,ND,5361,317,100
,,,,
20200721,ND,5202,309,98
,,,,
20200720,ND,5120,305,97
,,,,
20200719,ND,5013,302,96
,,,,
20200718,ND,4900,295,94
,,,,
20200717,ND,4784,290,94
,,,,
20200716,ND,4662,285,93
,,,,
20200715,ND,4559,284,92
,,,,
20200714,ND,4487,280,92
,,,,
20200713,ND,4433,277,91
,,,,
20200712,ND,4331,271,91
,,,,
20200711,ND,4240,263,91
,,,,
20200710,ND,4152,260,89
,,,,
20200709,ND,4068,257,89
,,,,
20200708,ND,3969,252,89
,,,,
20200707,ND,3896,248,93
,,,,
20200706,ND,3845,245,89
,,,,
20200705,ND,3812,242,89
,,,,
20200704,ND,3776,241,89
,,,,
20200703,ND,3719,237,89
,,,,
20200702,ND,3656,234,89
,,,,
20200701,ND,3613,234,89
,,,,
20200630,ND,3574,231,88
,,,,
20200629,ND,3536,227,88
,,,,
20200628,ND,3490,226,88
,,,,
20200627,ND,3455,225,87
,,,,
20200626,ND,3418,222,87
,,,,
20200625,ND,3390,222,87
,,,,
20200624,ND,3358,219,86
,,,,
20200623,ND,3317,218,84
,,,,
20200622,ND,3310,218,83
,,,,
20200621,ND,3285,216,83
,,,,
20200620,ND,3248,213,82
,,,,
20200619,ND,3223,210,82
,,,,
20200618,ND,3191,208,81
,,,,
20200617,ND,3162,201,78
,,,,
20200616,ND,3123,200,77
,,,,
20200615,ND,3100,197,77
,,,,
20200614,ND,3078,197,77
,,,,
20200613,ND,3056,197,77
,,,,
20200612,ND,3014,197,77
,,,,
20200611,ND,2978,193,77
,,,,
20200610,ND,2940,193,76
,,,,
20200609,ND,2900,189,75
,,,,
20200608,ND,2878,184,75
,,,,
20200607,ND,2859,183,75
,,,,
20200606,ND,2815,182,75
,,,,
20200605,ND,2744,180,74
,,,,
20200604,ND,2704,175,69
,,,,
20200603,ND,2678,172,69
,,,,
20200602,ND,2645,170,68
,,,,
20200601,ND,2623,169,64
,,,,
20200531,ND,2576,167,64
,,,,
20200530,ND,2553,165,63
